type	acrostic	page
f	william	Page:Sentimental valentine writer.pdf/11
f	mother	Page:The Canadian soldiers' song book.djvu/57
f	charlesfrancklin	Page:Notes and Queries - Series 9 - Volume 2.djvu/394
f	williamlilly	Christian Astrology
f	thomas	Page:Devon &amp; Cornwall Notes &amp; Queries.djvu/21
f	mattheusparkerus	Page:Archaeological Journal, Volume 29.djvu/98
f	thealchemist	The Alchemist (Jonson)/Argument
m	elizabeth	An Acrostic
m	georgianaaugustakeats	Page:The complete poetical works and letters of John Keats, 1899.djvu/279
m	lamb	Page:EB1911 - Volume 01.djvu/187
m	annacooper	The Chronicles of Cooperstown/Chapter IV
m	rose	Page:Carroll - Phantasmagoria and other poems (1869).djvu/121
m	georgewashington	The Old Guard/Volume 1/Issue 1/Acrostic
m	cuntissweetwhenyoungandtender	The Pearl/Volume 18/Acrostic
fm	cuntprickfuck	The Pearl/Volume 18/Acrostic - Madrigal
fm	fuckmycuntdearpapa	The Pearl/Volume 18/Acrostic - The Martyr
fm	thanksgiving	Page:St. Nicholas - Volume 41, Part 1.djvu/59
m	wolf	To Doctor Empiric
mo	charleshspurgeon	Page:Poems Curwen.djvu/239
mo	edithadagrange	Page:Poems Curwen.djvu/244
mo	hannahlawson	Page:Poems Curwen.djvu/244
m	brandon	Flint and Feather (1914)/Part 3/Brandon
m	canada	Flint and Feather (1914)/Part 3/Canada
m	land	Page:Letters of Life.djvu/269
m	gertrudechataway	Page:The Hunting of the Snark (1876).djvu/11
fm	iacobus	Marmion/Notes
m	iacobus	Page:Marmion - Walter Scott (ed. Bayne, 1889).pdf/323
m2	esuschristsonofgodsaviou	Nicene and Post-Nicene Fathers: Series II/Volume I/Constantine/The Oration of Constantine/Chapter 18
fm	williambedlowe	Page:Notes and Queries - Series 2 - Volume 1.djvu/216
m	clamor	Page:Civilization and barbarism (1868).djvu/163
m	poldy	Page:Ulysses, 1922.djvu/634
m	chastelard	Page:Hand in hand; (IA handinhand00kipl).pdf/27
m	jamesgardiner	Page:Most remarkable passages in the life of the honourable Colonel James Gardiner.pdf/24
fm	masterrichardcameron	Page:Good news to Scotland (1).pdf/2
fm	masterrichardcameron	Page:Good news to Scotland (2).pdf/2
m	masterdonaldcargil	Page:Life and wonderful prophecies of Donald Cargill (2).pdf/24
m	masterdonaldcargil	Page:Life and wonderful prophecies of Donald Cargill (1).pdf/24
m	masterjamesrenvick	Page:Elegy upon the death of that famous and faithful minister and martyr Mr. James Renwick.pdf/11
ms	anne	Page:New mirror of love.pdf/24
m	william	Page:New mirror of love.pdf/24
fms	iloveyou	Page:New mirror of love.pdf/19
fms	henry	Page:New mirror of love.pdf/19
fms	su	Page:New mirror of love.pdf/19
fm	san	Page:New mirror of love.pdf/20
m	thegreatdivide	Page:This Canada of ours and other poems.djvu/39
ms	chatterton	The Confessions of William-Henry Ireland
m	chaucer	The Confessions of William-Henry Ireland
ms	richard	The Confessions of William-Henry Ireland
ms	elizabeth	The Confessions of William-Henry Ireland
ms	mary	The Confessions of William-Henry Ireland
ms	sidney	The Confessions of William-Henry Ireland
