type	acrostic	page
m	поэтугалперину	Путь к высотам. Сонет-акростих (Брюсов)
m	николаюбернеру	Николаю Бернеру. Сонет-акростих (Брюсов)
m	игорюсеверянину	Игорю Северянину. Сонет-акростих с кодою (Брюсов)
m	преводизлажениякнязнвана	Стихотворения (Хворостинин)
m	князяивананиимриивичихзоростизини	Стихотворения (Хворостинин)
m	иванапнкзялананхворостиви	Стихотворения (Хворостинин)
mi	bonaparte	Акростих_нового_рода/ВЕ_1804_(СО)
mi	tatiana	Моя жизнь дома и в Ясной Поляне (Кузминская)
mi	mathjlde	Около Бонапартов (Ригар)/ДО
mi	leon	Воспоминания об А. С. Пушкине (Павлищев)
m	варя	Пруд (Ремизов)
m	анна	Четверной акростих (Богданович)
mf	рюрикуивневу	Акростих (Есенин)
mf	матренаматрена	Акростихи (Соловьёв)
m	матренаматрена	Собрание стихотворений (Соловьев)
mf	машекузминоикараваевои	Встреча (Гумилёв)
mf	спиридон	Акростих (Гоголь)
m	спиридон	Гоголь-гимназист (Авенариус)
m	спиридон	Гоголь. Его жизнь и литературная деятельность (Анненская)
m	спиридон	Записки о жизни Николая Васильевича Гоголя (Басистов)/ДО
m	спиридон	Стихотворения (Гоголь)
m	спиридон	Гоголь в жизни. Том 1 (Вересаев)
m	спиридон	Гоголь: Воспоминания. Письма. Дневники (Гиппиус)
m	спиридон	Страница:Гимназия высших наук и лицей князя Безбородко (1881).djvu/367
m	спиридон	Страница:Гимназия высших наук и лицей князя Безбородко (1881).djvu:ВТ/367
mf	аннаахматова	Акростих (Аддис-Абеба, город роз — Гумилёв)
mf	аннаахматова	Акростих (Ангел лёг у края небосклона — Гумилёв)
m	аннаахматовананнаахматова	Образ Ахматовой (Голлербах)
mf	катякардовская	Кате Кардовской (Гумилёв)
mf	михаилукузмину	Акростих (Мощь и нега — Гумилёв)
mf	машиналбом	Акростих (Можно увидеть на этой картинке — Гумилёв)
mf	олиналбом	Альбом или слон (Гумилёв)
mf	фидлеру	Фидлер, мой первый учитель (Гумилёв)
